time	distance	speed
2604305.2510778964	142874433250.03268	26498.133475705814	
2678087.5158382785	142499349367.20312	26584.54688361161	
2752271.033209807	142112444976.7021	26673.949592951867	
2826680.919162365	141714603003.81192	26766.168347942843	
2904619.948498295	141285733476.2783	26865.648037008952	
2982497.6867021783	140846667531.5192	26967.85901430722	
3057931.1345599517	140412557135.34805	27069.453877162727	
3140574.2437042026	139921626565.1247	27184.155377432155	
3229033.0592474253	139379554555.24908	27310.793556072567	
3325124.2349903984	138770369671.94315	27452.99850038273	
3414608.4574891957	138192758431.21283	27589.073269540368	
3507642.589485758	137575317517.14316	27734.844635391837	
3613041.514461127	136848750554.10947	27905.86109389296	
3715685.3442653776	136124827410.37039	28077.511473105464	
3815679.742304556	135404150479.76666	28249.61958048062	
3916070.7552592126	134663212407.08975	28427.492188472028	
4017994.7207175447	133892361865.40515	28613.41350991333	
4117531.2740003183	133124415753.3625	28799.97352226229	
4217853.886051613	132333031145.51434	28993.249069197533	
4318099.82289671	131525580101.64877	29191.63165377308	
4420399.993323564	130682866821.37004	29399.6953665642	
4524834.753280503	129803149016.13835	29618.02143756132	
4603436.13545011	129145206938.18494	29784.821062571566	
4654037.739722974	128727616292.00163	29892.959254083627	
4691500.794887345	128419776855.6674	29973.548108427967	
4713802.495018596	128238192537.92778	30021.631387710568	
4730422.783768597	128103126364.99777	30057.56784431965	
4744169.923162936	127991405663.52156	30087.373687511463	
4753582.945297201	127915069915.83134	30107.81007724622	
4759050.192402292	127870845183.59065	30119.685356948932	
4762970.357205579	127839155854.59099	30128.205469685385	
4766373.422948982	127811641790.66382	30135.60700316241	
4770022.472462032	127782111944.38606	30143.55104012438	
4773395.2515168935	127754807268.46695	30150.89921373323	
4776637.8840588005	127728543240.15083	30157.969214321587	
4779919.1586341895	127701948839.91357	30165.12924260145	
4783202.451823268	127675321565.21822	30172.299400794862	
4786656.317869097	127647288398.9822	30179.848682332253	
4790092.8815118745	127619378084.71014	30187.366387825234	
4793338.41581096	127593007743.65846	30194.471495821163	
4796589.897811095	127566572818.68144	30201.59525019647	
4799867.802022557	127539906067.40068	30208.782645196326	
4803141.506796611	127513257260.91179	30215.96652110933	
4806423.249978749	127486526431.66945	30223.17377446405	
4809772.869046192	127459223979.01224	30230.53617170418	
4813194.148899606	127431317810.09	30238.062423447518	
4816852.381558146	127401452135.95709	30246.11747796648	
